Model,Category
A-109E,HELICOPTER
A-10C,MULTI-ENGINE TURBINE
A-20,MULTI-ENGINE
A-4,SINGLE-ENGINE TURBINE
A-6,MULTI-ENGINE TURBINE
A-7,SINGLE-ENGINE TURBINE
AA-5B,SINGLE ENGINE
AC-130,MULTI-ENGINE TURBINE
AC-130J,MULTI-ENGINE TURBINE
AEROSONDE-UAV,UAV
AH-1F,HELICOPTER
AH-1GAZELLE,HELICOPTER
AH-1J,HELICOPTER
AH-1S,HELICOPTER
AH-1T,HELICOPTER
AH-1W,HELICOPTER
AH-1Z,HELICOPTER
AH-64A,HELICOPTER
AH-64D,HELICOPTER
AH-64E,HELICOPTER
AH-6J,HELICOPTER
AH-6M,HELICOPTER
AH-7,HELICOPTER
AH-MK1,HELICOPTER
AH-MK7,HELICOPTER
ARH-T,HELICOPTER
AS-350/H-125,HELICOPTER
AS-350,HELICOPTER
H-125,HELICOPTER
AS-350B2,HELICOPTER
ASK-21,GLIDER
AT-6,SINGLE-ENGINE TURBINE
AV-8B,SINGLE-ENGINE TURBINE
AW-119KE,HELICOPTER
AW-159,HELICOPTER  
B-1B,MULTI-ENGINE TURBINE
B-206,HELICOPTER
B-206X,HELICOPTER
B-25,MULTI-ENGINE
Bell-205,HELICOPTER
Bell-206,HELICOPTER
Bell-407,HELICOPTER
Bell-412,HELICOPTER
BO-105,HELICOPTER
C-12,MULTI-ENGINE TURBINE
C-130E,MULTI-ENGINE TURBINE
C-141,MULTI-ENGINE TURBINE
C-150,SINGLE ENGINE
C-172,SINGLE ENGINE
C-17A,MULTI-ENGINE TURBINE
C-20G,MULTI-ENGINE TURBINE
C-21A,MULTI-ENGINE TURBINE
C-2A,MULTI-ENGINE TURBINE
C-37A,MULTI-ENGINE TURBINE
C-37B,MULTI-ENGINE TURBINE
C-402B,MULTI-ENGINE
C-40A,MULTI-ENGINE TURBINE
C-5,MULTI-ENGINE TURBINE
C-9B,MULTI-ENGINE TURBINE
C26A,MULTI-ENGINE TURBINE
CC-130,MULTI-ENGINE TURBINE
CC-130J,MULTI-ENGINE TURBINE
CESSNA-GRDB,SINGLE-ENGINE TURBINE
CH-46E,HELICOPTER
CH-47D,HELICOPTER
CH-47F,HELICOPTER
CH-53A,HELICOPTER
CH-53D,HELICOPTER
CH-53E,HELICOPTER
CH-53K,HELICOPTER
CHALLENGER-604,MULTI-ENGINE TURBINE
CMV-22B,MULTI-ENGINE POWERED LIFT
CT4-B,SINGLE ENGINE
CV-22,MULTI-ENGINE POWERED LIFT
DA-20,SINGLE ENGINE
DC-3,MULTI-ENGINE
DHC-1,SINGLE ENGINE
E-18S,MULTI-ENGINE
E-2C,MULTI-ENGINE TURBINE
E-6B,MULTI-ENGINE TURBINE
E-8B,MULTI-ENGINE TURBINE
EA-18G,MULTI-ENGINE TURBINE
EA-1G,MULTI-ENGINE TURBINE
EA-300,SINGLE ENGINE
EA-6B,MULTI-ENGINE TURBINE
EC-120,HELICOPTER
EC-135,MULTI-ENGINE TURBINE
EC-145,HELICOPTER
EC-665,HELICOPTER
EC-725,HELICOPTER
EF-2000,MULTI-ENGINE TURBINE
EH-101,HELICOPTER
F-117,MULTI-ENGINE TURBINE
F-14,MULTI-ENGINE TURBINE
F-15,MULTI-ENGINE TURBINE
F-16A,SINGLE-ENGINE TURBINE
F-16B,SINGLE-ENGINE TURBINE
F-16C,SINGLE-ENGINE TURBINE
F-16CJ,SINGLE-ENGINE TURBINE
F-16D,SINGLE-ENGINE TURBINE
F-16DG,SINGLE-ENGINE TURBINE
F-16N,SINGLE-ENGINE TURBINE
F-2,SINGLE-ENGINE TURBINE
F-22A,MULTI-ENGINE TURBINE
F-35A,SINGLE-ENGINE TURBINE
F-35B,SINGLE-ENGINE TURBINE
F-35C,SINGLE-ENGINE TURBINE
F-4,MULTI-ENGINE TURBINE
F-5E,MULTI-ENGINE TURBINE
F-5F,MULTI-ENGINE TURBINE
F-5N,MULTI-ENGINE TURBINE
FA-18A,MULTI-ENGINE TURBINE
FA-18B,MULTI-ENGINE TURBINE
FA-18C,MULTI-ENGINE TURBINE
FA-18D,MULTI-ENGINE TURBINE
FA-18E,MULTI-ENGINE TURBINE
FA-18F,MULTI-ENGINE TURBINE
EA-18G,MULTI-ENGINE TURBINE
G-103GROB,GLIDER
GR-9,SINGLE-ENGINE TURBINE
H-269C,HELICOPTER
H-43,HELICOPTER
HH-1N,HELICOPTER
HH-46D,HELICOPTER
HH-46E,HELICOPTER
HH-60D,HELICOPTER
HH-60G,HELICOPTER
HH-60H,HELICOPTER
HH-60J,HELICOPTER
HH-60W,HELICOPTER
HH-65,HELICOPTER
HU-16,MULTI-ENGINE
JAS-39,SINGLE-ENGINE TURBINE
KC-130F,MULTI-ENGINE TURBINE
KC-130J,MULTI-ENGINE TURBINE
KC-130R,MULTI-ENGINE TURBINE
KC-130T,MULTI-ENGINE TURBINE
KC-135,MULTI-ENGINE TURBINE
L-39,SINGLE-ENGINE TURBINE
LEAR-JET,MULTI-ENGINE TURBINE
LJ-24,MULTI-ENGINE TURBINE
M-20F,SINGLE ENGINE
MB-326,SINGLE-ENGINE TURBINE
MC-130J,MULTI-ENGINE TURBINE
MC-130P,MULTI-ENGINE TURBINE
MD-500C,HELICOPTER
MD-500E,HELICOPTER
MD-520N,HELICOPTER
MD-530F,HELICOPTER
MD-553E,HELICOPTER
MD-600,HELICOPTER
MD-900,HELICOPTER
MD-902,HELICOPTER  
MH-47G,HELICOPTER
MH-53E,HELICOPTER
MH-53J,HELICOPTER
MH-53M,HELICOPTER
MH-60R,HELICOPTER
MH-60S,HELICOPTER
MH-6J,HELICOPTER
MH-6M,HELICOPTER
MI-17,HELICOPTER
MI-24B,HELICOPTER
MI-24C,HELICOPTER
MI-24D,HELICOPTER
MI-35,HELICOPTER
MI-8MTV,HELICOPTER
MIG-15,SINGLE-ENGINE TURBINE
MK-4SEAKING,HELICOPTER
MK-7LYNKX,HELICOPTER
MQ-9,UAV
MQ-9A,UAV
MV-22A,MULTI-ENGINE POWERED LIFT
MV-22B,MULTI-ENGINE POWERED LIFT
N-2S,SINGLE ENGINE
NH-90,HELICOPTER
NSH-60F,HELICOPTER
NU-1B,SINGLE ENGINE
NVH-3A,HELICOPTER
O-2A,MULTI-ENGINE
OH-58C,HELICOPTER
OH-58D,HELICOPTER
OV-10B,MULTI-ENGINE TURBINE
P-3,MULTI-ENGINE TURBINE
P-8,MULTI-ENGINE TURBINE
PA-42,MULTI-ENGINE
PA28-161,SINGLE ENGINE
PA28R-201,SINGLE ENGINE
PA31-350,MULTI-ENGINE
PA34-200T,MULTI-ENGINE
PA42-720,MULTI-ENGINE TURBINE
PA44-180,MULTI-ENGINE
PC-9A,MULTI-ENGINE TURBINE
PW-5,GLIDER
R-44,HELICOPTER
RJ-70,MULTI-ENGINE TURBINE
RQ-11,UAV
RQ-20,UAV
RQ-21A,UAV
RQ-2B,UAV
RQ-7B,UAV
S-3,MULTI-ENGINE TURBINE
S-55T,HELICOPTER
S-58,HELICOPTER
S-76-D,HELICOPTER
S-92,HELICOPTER
S-92A,HELICOPTER
SA-319B,HELICOPTER
SA-330,HELICOPTER
SA-341,HELICOPTER
SA-342GAZELLE,HELICOPTER
SAAB-340A,MULTI-ENGINE TURBINE
SCANEAGLE-UAV,UAV
SGS 2-33A,GLIDER
SH-3,HELICOPTER
SH-60,HELICOPTER
SH-60B,HELICOPTER
SH-60F,HELICOPTER
SH-60R,HELICOPTER
SR-20,SINGLE ENGINE
SR22,SINGLE ENGINE
STALKER XE,UAV
T-1A,MULTI-ENGINE TURBINE
T-2,SINGLE-ENGINE TURBINE
T-28B,SINGLE ENGINE
T-33,SINGLE-ENGINE TURBINE
T-34C,SINGLE-ENGINE TURBINE
T-37,SINGLE-ENGINE TURBINE
T-38,MULTI-ENGINE TURBINE
T-39,MULTI-ENGINE TURBINE
T-44,MULTI-ENGINE TURBINE
T-44A,MULTI-ENGINE TURBINE
T-44C,MULTI-ENGINE TURBINE
T-45,SINGLE-ENGINE TURBINE
T-45A,SINGLE-ENGINE TURBINE
T-45C,SINGLE-ENGINE TURBINE
T-47,MULTI-ENGINE TURBINE
